Customer,CustomerName,CustomerFullName,BPCustomerName,BPCustomerFullName,CreatedByUser,CreationDate,AddressID,CustomerClassification,VATRegistration,CustomerAccountGroup,AuthorizationGroup,DeliveryIsBlocked,PostingIsBlocked,BillingIsBlockedForCustomer,OrderIsBlockedForCustomer,InternationalLocationNumber1,IsOneTimeAccount,TaxJurisdiction,Industry,TaxNumberType,TaxNumber1,TaxNumber2,TaxNumber3,TaxNumber4,TaxNumber5,TaxNumber6,CustomerCorporateGroup,Supplier,NielsenRegion,IndustryCode1,IndustryCode2,IndustryCode3,IndustryCode4,IndustryCode5,Country,OrganizationBPName1,OrganizationBPName2,CityName,PostalCode,StreetName,SortField,FaxNumber,BR_SUFRAMACode,Region,TelephoneNumber1,TelephoneNumber2,AlternativePayerAccount,DataMediumExchangeIndicator,VATLiability,IsBusinessPurposeCompleted,ResponsibleType,FiscalAddress,NFPartnerIsNaturalPerson,DeletionIndicator,Language,TradingPartner,DeliveryDateTypeRule,ExpressTrainStationName,TrainStationName,InternationalLocationNumber2,InternationalLocationNumber3,CityCode,County,CustomerHasUnloadingPoint,CustomerWorkingTimeCalendar,IsCompetitor,TaxInvoiceRepresentativeName,BusinessType,IndustryType,TW_CollvBillingIsSupported,AlternativePayeeIsAllowed,FreeDefinedAttribute01,FreeDefinedAttribute02,FreeDefinedAttribute03,FreeDefinedAttribute04,FreeDefinedAttribute05,FreeDefinedAttribute06,FreeDefinedAttribute07,FreeDefinedAttribute08,FreeDefinedAttribute09,FreeDefinedAttribute10,PaymentReason,CustomerConditionGroup1,CustomerConditionGroup2,CustomerConditionGroup3,CustomerConditionGroup4,CustomerConditionGroup5,IsSalesProspect,PaymentIsBlockedForCustomer,IsConsumer,DataControllerSet,DataController1,DataController2,DataController3,DataController4,DataController5,DataController6,DataController7,DataController8,DataController9,DataController10,BusinessPartnerName1,BusinessPartnerName2,BusinessPartnerName3,BusinessPartnerName4,BPAddrCityName,BPAddrStreetName,AddressSearchTerm1,AddressSearchTerm2,DistrictName,POBoxDeviatingCityName,BusinessPartnerFormOfAddress,BR_ICMSTaxPayerType
0000000032,Bertram Wooster,Herr Bertram Wooster/12345 Hoppelheim,Bertram Wooster,Bertram Wooster,SCHARFT,2015-11-11,0000025295,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,DE,Bertram Wooster,,Hoppelheim,12345,Hochgerichtsstraße 45,WOOSTER,,,08,,,,,false,,,,true,false,DE,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Bertram Wooster,,,,Hoppelheim,Hochgerichtsstraße,WOOSTER,,,,0002,
0000000036,Customer 01,Company Customer 01/201203 Shanghai,Customer 01,Customer 01,LUOMAN,2015-11-12,0000025316,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,CN,Customer 01,,Shanghai,201203,123,CUSTOMER 0,,,020,,,,,false,,,,false,false,EN,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Customer 01,,,,Shanghai,123,CUSTOMER 01,,,,0003,
0000000038,Silva, Silva/9999-999 LISBOA,Silva,Silva,I312798,2015-11-17,0000025390,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,PT,Silva,,LISBOA,9999-999,,SILVA,,,,,,,,false,,,,true,false,PT,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Silva,,,,LISBOA,,SILVA,,,,,
0000000039,Silva, Silva/9999-999 LISBOA,Silva,Silva,I312798,2015-11-17,0000025394,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,PT,Silva,,LISBOA,9999-999,,SILVA,,,,,,,,false,,,,true,false,PT,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Silva,,,,LISBOA,,SILVA,,,,,
0000000040,Silva, Silva/9999-999 LISBOA,Silva,Silva,I312798,2015-11-17,0000025398,,PT123456789,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,PT,Silva,,LISBOA,9999-999,Avenida da Liberdade,SILVA,,,,,,,,false,,,,true,false,PT,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Silva,,,,LISBOA,Avenida da Liberdade,SILVA,,,,,
0000000041,Customer 1 (VAT cash) VAT on Cash, Customer 1 (VAT cash) VAT on Cash/11111111 Lisbon,Customer 1 (VAT cash) VAT on Cash,Customer 1 (VAT cash) VAT on Cash,I305820,2015-11-19,0000027199,,PT123456789,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,PT,Customer 1 (VAT cash) VAT on Cash,,Lisbon,11111111,,VAT,,,,,,,,false,,,,true,false,EN,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Customer 1 (VAT cash) VAT on Cash,,,,Lisbon,,VAT,,,,,
0000000042,Customer (regular) Regular, Customer (regular) Regular/11111111 Lisbon,Customer (regular) Regular,Customer (regular) Regular,I305820,2015-11-19,0000027295,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,PT,Customer (regular) Regular,,Lisbon,11111111,Lagoas,REGULAR,,,,,,,,false,,,,true,false,PT,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Customer (regular) Regular,,,,Lisbon,Lagoas,REGULAR,,,,,
0000000043,Customer (+NIF) NIF, Customer (+NIF) NIF/11111111 Lisboa,Customer (+NIF) NIF,Customer (+NIF) NIF,I305820,2015-11-19,0000027319,,PT123456789,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,PT,Customer (+NIF) NIF,,Lisboa,11111111,,NIF,,,,,,,,false,,,,true,false,PT,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Customer (+NIF) NIF,,,,Lisboa,,NIF,,,,,
0000000044,Customer with WHT WHT, Customer with WHT WHT/11111111 Lisboa,Customer with WHT WHT,Customer with WHT WHT,I305820,2015-11-19,0000027509,,PT123456789,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,PT,Customer with WHT WHT,,Lisboa,11111111,,WHT,,,,,,,,false,,,,true,false,PT,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Customer with WHT WHT,,,,Lisboa,,WHT,,,,,
0000000045,Customer xpto, Customer xpto/11111111 Lisboa,Customer xpto,Customer xpto,I305820,2015-11-20,0000027519,,PT123456789,DEBI,,,false,,,0000000,false,,,,,,,,,,,0000100033,,,,,,,PT,Customer xpto,,Lisboa,11111111,,VENDOR,,,,,,,,false,,,,false,false,PT,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Customer xpto,,,,Lisboa,,VENDOR,,,,,
0000000046,Custumer with WHT, Custumer with WHT/11111111 Lisboa,Custumer with WHT,Custumer with WHT,I305820,2015-11-20,0000027525,,PT123456789,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,PT,Custumer with WHT,,Lisboa,11111111,,WHT,,,,,,,,false,,,,true,false,PT,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Custumer with WHT,,,,Lisboa,,WHT,,,,,
0000000051,One Time Customer, One Time Customer/XXXXXXXX xxxxx,One Time Customer,One Time Customer,I305820,2015-11-22,0000027557,,PT123456789,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,PT,One Time Customer,,xxxxx,XXXXXXXX,xxx,ONE TIME,,,,,,,,false,,,,true,false,PT,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,One Time Customer,,,,xxxxx,xxx,ONE TIME,,,,,
0000000052,Custumer with Alternate Payee, Custumer with Alternate Payee/11111111 Lisboa,Custumer with Alternate Payee,Custumer with Alternate Payee,I305820,2015-11-22,0000027559,,PT123456789,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,PT,Custumer with Alternate Payee,,Lisboa,11111111,,ALTERNATE,,,,,,0000000062,,false,,,,false,false,PT,,,,,00000,0,,,false,,false,,,,false,true,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Custumer with Alternate Payee,,,,Lisboa,,ALTERNATE,,,,,
0000000053,Mudit Kapoor,Mr. Mudit Kapoor/69190 walldorf,Mudit Kapoor,Mudit Kapoor,KAPOORM,2015-11-23,0000027583,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,DE,Mudit Kapoor,,walldorf,69190,,SAP,,,,,,,,false,,,,false,false,EN,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Mudit Kapoor,,,,walldorf,,SAP,,,,0002,
0000000062,Alternative Payer, Alternative Payer/11111111 Lisboa,Alternative Payer,Alternative Payer,I305820,2015-11-25,0000027624,,PT123456789,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,PT,Alternative Payer,,Lisboa,11111111, Lagoas Park,ALTERNATE,,,,,,,,false,,,,true,false,PT,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Alternative Payer,,,,Lisboa, Lagoas Park,ALTERNATE,,,,,
0000000064,Vendor for WHT, Vendor for WHT/11111111 Lisboa,Vendor for WHT,Vendor for WHT,I305820,2015-11-25,0000027629,,PT123456789,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,PT,Vendor for WHT,,Lisboa,11111111,,WHT,,,,,,,,false,,,,false,false,PT,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Vendor for WHT,,,,Lisboa,,WHT,,,,,
0000000066,ABC, ABC/201301 NOIDA,ABC,ABC,I048905,2015-11-26,0000027662,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,IN,ABC,,NOIDA,201301,,ABCD,,,,,,,,false,,,,true,false,EN,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,ABC,,,,NOIDA,,ABCD,,,,,
0000000067,ABCD, ABCD/201301 NOIDA,ABCD,ABCD,I048905,2015-11-26,0000027666,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,IN,ABCD,,NOIDA,201301,,ABCDE,,,,,,,,false,,,,true,false,EN,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,ABCD,,,,NOIDA,,ABCDE,,,,,
0000000069,Yaseen, Yaseen/12345 KW,Yaseen,Yaseen,YASEENA,2015-11-26,0000027674,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,KW,Yaseen,,KW,12345,,YA,,,,,,,,false,,,,false,false,EN,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Yaseen,,,,KW,,YA,,,,,
0000000072,yaseen_01, yaseen_01/12345 KW,yaseen_01,yaseen_01,YASEENA,2015-11-26,0000027676,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,KW,yaseen_01,,KW,12345,,YA,,,,,,,,false,,,,false,false,AR,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,yaseen_01,,,,KW,,YA,,,,,
0000000073,test,Company test/56003701 S1,test,test,C5223459,2015-11-27,0000027695,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,JP,test,,S1,56003701,,S1,,,,,,,,false,,,,false,false,EN,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,test,,,,S1,,S1,,,,0003,
0000000075,test,Company test/56003701 C1,test,test,C5223459,2015-11-27,0000027701,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,JP,test,,C1,56003701,,S1,,,,,,,,false,,,,false,false,EN,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,test,,,,C1,,S1,,,,0003,
0000000077,Kannada Teacher mprebp6 customer, Kannada Teacher mprebp6 customer/560066 Bangalore,Kannada Teacher mprebp6 customer,Kannada Teacher mprebp6 customer,MPRE,2015-11-27,0000027710,,,DEBI,DPP,,true,,,0000000,false,,,,,,,,,,,,,,,,,,IN,Kannada Teacher mprebp6 customer,,Bangalore,560066,,MPREBP6,,,,,,,,false,true,,,true,true,EN,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Kannada Teacher mprebp6 customer,,,,Bangalore,,MPREBP6,,,,,
